country,city,city_en,peopleNum,hotSpot,cityDetail,imgUrl
法国,南特,nantes,2045人去过,布列塔尼公爵城堡|南特圣彼得与圣保罗大教堂|Erdre河|圣十字教堂|南特机器岛乐园|波默海耶廊街|凡尔赛岛日本庭园|Plantes花园|南特自然历史博物馆|儒勒凡尔纳博物馆|布列塔尼塔|南特火车站|Trentemoult|南特美术馆|L'Entrecôte Nantes|多布里博物馆|南特亚特兰大机场|Amorino冰淇淋 (南特)|海蛇雕塑|La Raffinerie,//place.qyer.com/nantes/,https://pic.qyer.com/album/user/214/78/Q0hRRRIBYA/index/cover
法国,瓦朗索尔,valensole,1990人去过,瓦朗索勒|Terraroma薰衣草庄园和精油提炼厂|瓦朗索尔市政厅|大喷泉,//place.qyer.com/valensole/,https://pic.qyer.com/album/user/402/84/RUlXSh4PZg/index/cover
法国,鲁昂,rouen,1975人去过,鲁昂老城区|鲁昂圣母大教堂|鲁昂圣女贞德教堂|旧市场广场|鲁昂城堡-圣女贞德塔|鲁昂法院|圣玛洛教堂|鲁昂美术博物馆|大时钟与钟楼|鲁昂老集市|圣旺教堂|鲁昂火车站|鲁昂陶瓷博物馆|XXL全景画馆|Aitre St-Maclou屋|鲁昂旧货市场|Point de Vue de la Côte Sainte-Catherine|圣女贞德历史馆|Secq des Tournelles博物馆|鲁昂老佛爷百货,//place.qyer.com/rouen/,https://pic.qyer.com/album/18c/11/2074617/index/cover
法国,卡尔卡松,carcassonne,1964人去过,伯爵堡|圣纳泽尔大教堂|佩鲁蒂耶城堡|RESTAURANT LE SAINT JEAN|旧桥|Restaurant Adelaide|卡尔卡松小市场|Le Parc Franck Putelat|鸟类公园,//place.qyer.com/carcassonne/,https://pic.qyer.com/album/user/351/31/QkxUQRsGYQ/index/cover
法国,格勒诺布尔,grenoble,1868人去过,巴士底城堡|格勒诺布尔博物馆|城市公园|格勒诺布尔车站|圣安德列教堂|多菲内博物馆|格勒诺布尔自然历史博物馆|Vizille城堡|Les Deux Alpes|老主教博物馆|Alpe d’Huez|格勒诺布尔考古博物馆|圣洛朗教堂博物馆|法国查尔特勒修会博物馆|Resistance et de la Deportation de l'Isere博物馆|Le Magasin|瓦桑堡|串香火锅|L'Ardoise|Le Bouchon Montagnard,//place.qyer.com/grenoble/,https://pic.qyer.com/album/user/467/33/RU9SQRkGYQ/index/cover
法国,芒通,menton,1696人去过,圣心教堂|圣米歇尔教堂|芒通柠檬节|科克托博物馆|芒通火车站|结婚礼堂|塞雷•德拉马东花园|Mirazur|卡诺莱宫,//place.qyer.com/menton/,https://pic.qyer.com/album/1a1/08/2036959/index/cover
法国,卡昂,caen,1552人去过,圣米歇尔山博物馆|诺曼底博物馆|诺曼底美军公墓|卡昂城堡|朱诺海滩|犹他海滩|卡昂男士修道院|犹他海滩博物馆|宝剑海滩|圣艾蒂安老教堂|卡昂女士修道院|卡昂美术博物馆|卡昂和平纪念馆|卡昂火车站|东方餐馆|Église Saint-Jean de Caen|圣皮埃尔大教堂|罗斯福咖啡馆|卡昂自然博物馆|圣索沃尔教堂,//place.qyer.com/caen/,https://pic.qyer.com/album/user/372/36/Qk5XQRwGZA/index/cover
法国,安提贝,antibes,1522人去过,昂蒂布老城|昂蒂布毕加索美术馆|方堡|昂蒂布角|Nomade雕塑|安提贝海洋公园|佩内博物馆|Marché provençal市场,//place.qyer.com/antibes/,https://pic.qyer.com/album/user/405/18/RUlQQxIFZA/index/cover
法国,昂布瓦兹,amboise,1497人去过,昂布瓦兹皇家城堡|克洛·吕斯城堡|圣雨佩礼拜堂|昂布瓦兹火车站|迷你城堡公园|Restaurant l'Epicerie|Pont du Marechal Leclerc,//place.qyer.com/amboise/,https://pic.qyer.com/album/user/369/6/Qk9cQhwGYg/index/cover
法国,埃特勒塔,etretat,1482人去过,象鼻山|小象鼻山|阿瓦尔悬崖|圣母教堂|埃格城堡|莫里斯•勒勃朗故居|克洛•卢潘,//place.qyer.com/etretat/,https://pic.qyer.com/album/user/458/7/RUxdQh0OZw/index/cover
