country,city,city_en,peopleNum,hotSpot,cityDetail,imgUrl
英国,天空之岛,isle-of-skye,4995人去过,爱莲·朵娜城堡|老人峰|苏格兰裙岩悬崖|天空岛|波特里湾|突击队纪念碑|邓韦根城堡|米尔特湖|乌伊格|Quiraing|天空岛A.C.E射击运动中心|内斯特角灯塔|洛哈尔什教区凯尔|仙女池|Coruisk湖|港口鱼和薯条外卖店|天空岛生活博物馆|Mealt Falls|仙女峡谷|内斯特角,//place.qyer.com/isle-of-skye/,https://pic.qyer.com/album/1d2/8c/2023188/index/cover
英国,因弗尼斯,inverness,4935人去过,尼斯河|因弗尼斯城堡|厄克特城堡|格里格大街大桥|旧城镇教堂|圣安德鲁教堂|Culloden古战场|因弗尼斯博物馆和艺术馆|Jimmy Chung's|Inverness Botanic Gardens|茵薇花园|因弗尼斯火车站|泰坦尼克因弗尼斯海事博物馆|乔治堡和高地人博物馆|Smoo溶洞|因弗尼斯机场|伊甸园剧院|因弗尼斯汽车站|The Mustard Seed餐厅|Riva餐厅,//place.qyer.com/inverness-uk/,https://pic.qyer.com/album/191/07/2060868/index/cover
英国,诺丁汉,nottingham,4760人去过,诺丁汉大学|诺丁汉城堡|侠盗林|沃莱顿公园|沃莱顿议事厅|洞穴城|Ye Olde Trip to Jerusalem酒吧|纽斯特德修道院|司法美术馆|圣玛丽教堂(诺丁汉)|诺丁汉当代艺术中心|Wagamama餐厅|纽瓦克市政厅博物馆与画廊|诺丁汉皇家音乐厅|Oceana 夜店|诺丁汉剧场|intu Victoria Centre|诺丁汉植物园|诺丁汉圣彼得教堂|格林磨坊科技馆,//place.qyer.com/nottingham/,https://pic.qyer.com/album/111/34/2030588/index/cover
英国,圣安德鲁斯,st-andrews,3977人去过,圣安德鲁斯大教堂|圣安德鲁斯城堡|西沙滩|老球场|英国高尔夫球博物馆|圣安德鲁斯圣三一教堂|圣安德鲁斯大学博物馆|东沙滩|苏格兰秘密堡垒|圣安德鲁斯水族馆|凯莉城堡|圣安德鲁斯烈士纪念碑|St Rule’s Tower|法克兰宫殿和花园|Jannettas Gelateria|圣安德鲁斯汽车站|圣安德鲁斯大教堂博物馆|North point|塔薇山庄园和花园|The Seafood Restaurant,//place.qyer.com/st-andrews/,https://pic.qyer.com/album/1ee/74/1946921/index/cover
英国,考文垂,coventry,3903人去过,考文垂大教堂|考文垂交通博物馆|戈黛娃夫人雕像|考文垂圣三一教堂|白拱|赫伯特艺术画廊与博物馆|考文垂市场|宽门钟楼|COSMO餐厅|红熊猫餐厅|理光运动场|战争纪念公园|密德兰航空博物馆|戈黛娃节|贝尔格莱德剧院|St. Mary's Guildhall|科姆伯乡村公园|阿伯里庄园|SHIN Japanese Bar & Kitchen|Fresh Oriental 1,//place.qyer.com/coventry/,https://pic.qyer.com/album/user/334/72/QkpRRRgPaA/index/cover
英国,南安普敦,southampton,3689人去过,南安普敦圣玛丽教堂|安德鲁斯公园|新森林国家公园|卡尔绍特城堡|南安普敦美术馆|都德家园|南安普敦国际机场|West Quay shopping centre|海洋城市博物馆|中世纪商人住宅博物馆|城墙漫步|埃克斯伯里公园|圣十字架教堂|圣米迦勒教堂(南安普顿)|赫尔斯特城堡|纳特利修道院|Quay FIFTEEN|圣玛丽球场|The Common|宜家,//place.qyer.com/southampton/,https://pic.qyer.com/album/user/319/19/QkhcQxMHaA/index/cover
英国,威廉堡,fort-william,3498人去过,格伦芬南铁路高架桥|本尼维斯山|尼维斯峡谷|伊峡谷|格伦芬南山|Fort William Duncansburgh Macintosh Parish Church|Jacobite蒸汽火车|格伦科峡谷|西高地博物馆|skyfall|本尼维斯酿酒厂|老因弗罗奇城堡|史蒂尔瀑布|海神闸门|Crannog Seafood Restaurant|威廉堡火车站|Nevis Range Mountain Gondola|The Great Glen|地球宝藏博物馆|灰树画廊,//place.qyer.com/fort-william/,https://pic.qyer.com/album/116/1c/2019981/index/cover
英国,朴次茅斯,portsmouth,3147人去过,三角帆塔|皇家海军勇士号战舰|朴茨茅斯古代造船厂|皇家海军胜利号战舰|冈沃夫码头购物中心|皇家海军博物馆|玛丽罗斯号博物馆|南海城堡|诺曼底登陆日博物馆|朴茨茅斯海军纪念碑|狄更斯出生地博物馆|皇家海军陆战队博物馆|维多利亚公园（朴茨茅斯）|M33号浅水炮舰|朴茨茅斯城市博物馆|皇家潜艇博物馆|海军火力博物馆|历史船坞作坊|朴茨茅斯军事互动游艺|The Old Customs House,//place.qyer.com/portsmouth-uk/,https://pic.qyer.com/album/13d/f9/37229/index/cover
英国,史特灵,stirling,2939人去过,斯特灵城堡|华莱士国家纪念碑|斯特灵古镇|圣鲁德教堂|老城监狱|老斯特灵桥|断头石|班诺克本历史遗迹中心|斯特林火车站|杜恩城堡|斯特灵史密斯艺术馆与博物馆|帝都中式自助餐|国王结|The Bluebell Tea Room|Maharaja|阿盖尔故居|Mar\'s Wark|阿盖尔和萨瑟兰高地军团博物馆|坎贝尔城堡|Cowane's Hospital,//place.qyer.com/stirling/,https://pic.qyer.com/album/user/2413/64/Q01UQRwDZEA/index/cover
英国,科茨沃尔德,cotswold,2826人去过,Bourton-on-the-Water|拜伯里|下斯劳特村|上斯劳特村|阿灵顿排屋|百老汇塔|莫顿因马什|科茨沃尔德薰衣草田|科普斯山路|科茨沃尔德薰衣草农场|班普顿村|旧磨坊博物馆|莫顿因马什火车站|雪丘大宅和花园|拜伯里鳟鱼养殖场|Stanton|Stanway House|圣彼得与圣保罗教堂|休德利城堡和花园|佩恩斯威克教区圣玛丽教堂,//place.qyer.com/cotswold/,https://pic.qyer.com/album/user/1124/6/QEhXRhoBY0g/index/cover
