country,city,city_en,peopleNum,hotSpot,cityDetail,imgUrl
中国,青岛,qingdao,54009人去过,青岛海昌极地海洋公园|青岛海底世界|崂山|青岛啤酒博物馆|栈桥|方特梦幻王国|信号山公园|青岛森林野生动物世界|“琴岛之眼”摩天轮|黄岛金沙滩|德国监狱旧址博物馆|鬼屋|浙江路天主教堂|劈柴院|青岛火车站|青岛世界园艺博览园|花石楼|公主楼|青岛啤酒二厂“纯生之旅”|石老人海水浴场,//place.qyer.com/qingdao/,https://pic.qyer.com/album/user/861/28/SU9UQBIAZw/index/cover
中国,丽江,lijiang,52763人去过,玉龙雪山|拉市海|虎跳峡|四方街|蓝月谷|冰川公园|万古楼|黑龙潭公园|丽江古城（大研古镇）|束河古镇|玉龙雪山索道|狮子山|白沙古镇|长江第一湾|观音峡|白水河|水上人家|东巴秘境|云杉坪|玉水寨,//place.qyer.com/lijiang/,https://pic.qyer.com/album/user/1503/19/QExVQRsOYUA/index/cover
中国,桂林,guilin,49608人去过,漓江|象山景区|两江四湖|芦笛岩|独秀峰王城景区|银子岩|七星景区|叠彩山|日月双塔|道观|象鼻山|大自然|独秀峰|訾洲岛|约吧|七星岩|饭时候|当地人家|东西巷|一江四湖,//place.qyer.com/guilin/,https://pic.qyer.com/album/user/861/28/SU9UQBICYw/index/cover
中国,长沙,changsha,48172人去过,橘子洲|岳麓山|长沙世界之窗|湖南省博物馆|长沙生态动物园|岳麓书院|天心阁|爱晚亭|侏罗纪公园|湖南省森林植物园|太平街|冰雪世界|铜官窑古镇|海立方海洋公园|哆啦A梦|大观园|湖南大学|长沙海底世界|力美术馆|天马行空,//place.qyer.com/changsha/,https://pic.qyer.com/album/user/861/29/SU9UQBMHZQ/index/cover
中国,无锡,wuxi,47332人去过,鼋头渚|蠡园|锡惠公园|荡口古镇|惠山古镇|中视无锡影视基地|水浒城|无锡海底世界|清名桥古运河景区|南长街|东林书院|韩餐|雪浪山生态园|梁鸿湿地公园|寄畅园|太湖仙岛|薛家花园|崇安寺景区|无锡影都华莱坞|绿羊欢乐庄园,//place.qyer.com/wuxi/,https://pic.qyer.com/album/user/861/28/SU9UQBIOYw/index/cover
中国,昆明,kunming,46826人去过,云南民族村|滇池|翠湖公园|西山风景名胜区|花之城|金马碧鸡坊|七彩云南欢乐世界|大观公园|云南大学|金殿公园|滇池西山索道|云南野生动物园|世界园艺博览园|轿子雪山|黑龙潭公园|大观楼|海埂公园|东川红土地|云南陆军讲武堂旧址|官渡古镇,//place.qyer.com/kunming/,https://pic.qyer.com/album/user/1333/85/QEpWQRICY0g/index/cover
中国,高雄市,kaohsiung-city,46819人去过,六合夜市|高雄捷运美丽岛站(光之穹顶)|打狗英国领事馆|爱河|西子湾风景区|驳二艺术特区|高雄85大楼|旗津|真爱码头|高雄港|渔人码头和香蕉码头|国立中山大学|瑞丰夜市|打狗铁道故事馆|高雄捷運|梦时代-高雄之眼摩天轮|旗后炮台|佛光山|高铁左营站|旗津天后宮,//place.qyer.com/kaohsiung-city/,https://pic.qyer.com/album/12a/96/1971622/index/cover
中国,常州,changzhou,45323人去过,淹城野生动物世界|嬉戏谷|东方盐湖城·道天下|恐龙谷温泉|天宁寺|恐龙园侏罗纪水世界|茅山宝盛园|常州金鹰海洋世界|中华孝道园|兵家|花谷奇缘|红梅公园|罗森|罗森|环球港龙眼摩天轮|猎户|恐龙城迪诺水镇|嬉戏谷完美水世界|常州博物馆|环球恐龙城,//place.qyer.com/changzhou/,https://pic.qyer.com/album/user/861/25/SU9UQB8BYA/index/cover
中国,沈阳,shenyang,42420人去过,沈阳故宫|沈阳方特欢乐世界|沈阳世博园|沈阳森林动物园|九一八历史博物馆|星球大战|沈阳鸟岛|中街商业圈|清福陵|维苏威火山|城市广场|辽宁省博物馆|清河半岛温泉|建筑博物馆|辛巴达欢乐城堡|东塔|棋盘山|东北亚滑雪场|稻梦空间|欢乐谷,//place.qyer.com/shenyang/,https://pic.qyer.com/album/user/861/47/SU9URh0CaA/index/cover
中国,哈尔滨,haerbin,41892人去过,哈尔滨冰雪大世界|中央大街|圣索菲亚大教堂|哈尔滨极地馆|松花江观光索道|东北虎林园|松花江|龙塔|太阳岛风景区|波塞冬海洋王国|防洪纪念塔|果戈里大街|老道外|天文馆|北方森林动物园|梦幻世界|亚布力滑雪旅游度假区|斯大林公园|黑龙江省博物馆|黑龙江省森林植物园,//place.qyer.com/haerbin/,https://pic.qyer.com/album/user/861/28/SU9UQBICZA/index/cover
