标题,类型,地点,价格,评分,收藏数,地区
【拾光凡尘·Fanc雅致影院大床房】岳麓山景/免费洗衣/免费停车/梅溪湖文化艺术中心/金星路地铁站/财经学院/梅溪湖,整套1室 · 1床 · 可住2人,岳麓山大学城,¥238,4.8,908,长沙
五一广场/步行街/国金中心橘子洲岳麓山/财政经济学院/梅溪湖/麻将/高清投影/高清投影/管家服务/千兆网络/免费停车,整套1室 · 2床 · 可住4人,岳麓山大学城,¥258,5.0,149,长沙
高铁南站大三房、麻将房，地铁口、沙湾公园、山姆、黄花机场、五一广场、橘子洲头、岳麓山、国金中心、解放西路、太平街,整套3室 · 4床 · 可住8人,长沙南站,¥448,5.0,59,长沙
现代小清新大床房/五一广场城市核心商圈/老九门之浏阳门/地铁口/ifs国金中心/近太平街解放西/投影房/拍照场景,整套1室 · 2床 · 可住4~5人,五一广场/贺龙,¥298,5.0,230,长沙
五一广场/可月租/芙蓉广场地铁口/高层景观/情侣/橘子洲/家庭/博物馆/米粉街,整套1室 · 1床 · 可住2~3人,五一广场/贺龙,¥258,5.0,33,长沙
【美景美宿·清新】五一广场/太平老街/地铁口/国金IFS/潮宗街/坡子街/橘子洲/长租特惠/全屋消毒+安心住,整套2室 · 2床 · 可住4~5人,五一广场/贺龙,¥298,5.0,90,长沙
搁浅 白色洞窟风简约唯美超大观景落地飘窗五一广场正地铁口IFS国金中心旁,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥228,4.3,1511,长沙
THE ALL/高空江景/拾玖·五一商圈·2床可住4位·博物·馆烈士公园·LOFT公寓·近地铁站,整套2室 · 2床 · 可住4人,北辰/中南大学湘雅医院,¥479,5.0,68,长沙
【Julia&Home】朱莉家民宿，波西米亚复式公寓/超大落地窗，北辰三角洲，五一广场,整套2室 · 2床 · 可住4人,距五一广场直线4公里 开福区,¥388,4.8,222,长沙
芷有/五一中心双地铁/高层江景/对面就是太平街ifs楼下就是解放西路/巨幕投影 长短租更优惠,整套2室 · 2床 · 可住4~6人,距五一广场直线561米 天心区,¥268,4.6,1361,长沙
五一广场/IFS国金中心/坡子街/太平街/橘子洲/岳麓山/博物馆/投影房/可做饭,整套1室 · 3床 · 可住4~5人,五一广场/贺龙,¥288,5.0,46,长沙
＇尚品.和光同晨＇/商务套房2室一厅/地铁口50米/楼下美食街/金融中心渔人码头/橘子洲岳麓山五一广场解放西坡子街太平街,整套2室 · 2床 · 可住4人,市委/市政府,¥368,5.0,281,长沙
H.湘雅医院对面/loft二室/华远华时代B塔53楼（近省博物馆，近五一广场）200米高空城景房,整套2室 · 2床 · 可住4人,北辰/中南大学湘雅医院,¥311,5.0,103,长沙
【云台】两室一厅/近五一广场/岳麓山/金融中心/茶子山地铁口/橘子洲/大学城/观沙岭/渔人码头/国金中心/近步行街,整套2室 · 2床 · 可住4人,市委/市政府,¥350,4.8,122,长沙
【青柚·樱之雪】日式风格/近IFS/近五一广场/近地铁口,整套1室 · 1床 · 可住2人,距五一广场直线284米 芙蓉区,¥248,4.8,1254,长沙
【凡尘墟里】落地窗复古主义风格开福寺地铁站/靠近五一广场/可寄存行李,整套1室 · 1床 · 可住2人,北辰/中南大学湘雅医院,¥258,4.7,1807,长沙
6号线【五一广场/贺龙】国金中心/火车站/袁家岭/芙蓉广场/万家丽/岳麓山/橘子洲头风景区都可乘地铁到达，可长租短租。,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥161,4.6,72,长沙
白色风车 简约唯美超大观景落地飘窗五一广场正地铁口IFS国金中心旁,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥258,4.4,1523,长沙
＇优尚.星梦之旅＇/双床可住4人/大屏投影′/地铁口50米/五一广场/桔子洲/岳麓山太平街/潮宗街区/梦幻浪漫星空穿越,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥368,4.8,131,长沙
览江|五一江景投影大床房/近地铁口太平街/步行可到IFS’黄兴广场’步行街/方便停车/近万达/橘子州/美食环绕,整套1室 · 1床 · 可住2~3人,五一广场/贺龙,¥268,5.0,235,长沙
北欧风格，高清投影，五一商圈 解放西路 坡子街 楼下火宫殿，近黄兴广场地铁口，步行街，美食城，景有火宫殿，橘子洲，岳麓山,整套1室 · 2床 · 可住3~4人,距五一广场直线590米 天心区,¥248,4.8,913,长沙
【拾八｜浅酒】人气拍照榜｜日式风榻榻米｜高空城景｜洗衣机冰箱｜可住四人｜近地铁｜五一广场,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥299,5.0,147,长沙
已消毒【亦家·破晓】五一广场/解放西/国金中心IFS/投影仪/大床房/落地窗/江景房,整套2室 · 2床 · 可住5人,五一广场/贺龙,¥308,5.0,63,长沙
悠悠五一广场16 /大客厅／100寸大投影／地铁黄兴广场／橘子洲／天心阁／太平街／国金中心／省人民医院／高层安静睡觉舒服,整套2室 · 2床 · 可住4~5人,五一广场/贺龙,¥328,4.8,91,长沙
【柚见•巨幕投影】洁简北欧风风/长沙高铁南/吾悦广场/地铁粟塘站/地铁直达五一广场、岳麓山、橘子洲、,整套1室 · 1床 · 可住2人,长沙南站,¥308,5.0,1208,长沙
＇尚美.青藏高远＇/市中心高层双床可睡4人/地铁口50米/五一广场坡子街太平街解放西国金中心/桔子洲岳麓山/潮宗街商区,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥368,5.0,158,长沙
【且停居】地铁口50米/经济实惠/万家丽/马王堆/南站/火车站/杨帆夜市/五一广场/地铁2号线/5号线,整套1室 · 1床 · 可住2人,万家丽,¥168,5.0,98,长沙
【栖迟.洛尘】两室一厅/五一广场/IFS/长沙站/岳麓山/渔人码头/金融中心/近地铁4号线/管家式服务,整套2室 · 2床 · 可住4人,距五一广场直线5.7公里 岳麓区,¥354,4.9,4258,长沙
〔惦恋时光〕火车站地铁口 五一广场 阿波罗广场 投影仪 公园 长短租更优惠,整套1室 · 1床 · 可住2人,距五一广场直线3.3公里 芙蓉区,¥340,4.9,792,长沙
五一广场/地铁口旁/方便做饭投影ins风情侣大床房/步行街/迎宾路口/IFS黄兴广场/ 可长租/太平老街岳麓山/米家,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥331,5.0,440,长沙
【榛果别院】岳麓山大学城/湖南大学校内/湖南师范大学/近五一广场/橘子洲头/地铁口/免费寄存行礼,整套1室 · 1床 · 可住2~3人,距五一广场直线3.9公里 岳麓区,¥158,4.6,2171,长沙
THE ALL/北欧设计/拾伍·五一商圈·2床可住4位·博物·馆烈士公园·LOFT公寓·近地铁站,整套2室 · 2床 · 可住4人,北辰/中南大学湘雅医院,¥479,5.0,127,长沙
新房特惠【贤兴民宿】温馨舒适大床房、近高桥大市场、采光好、高桥北地铁口、长短租更优惠（不含空调）,整套1室 · 1床 · 可住2人,长沙火车站,¥92,4.6,747,长沙
屿宿【轻 语】北欧风/双床房/巨幕投影/橘子洲头/ifs/茶颜悦色/五一广场/太平街/坡子街,整套1室 · 2床 · 可住4~5人,五一广场/贺龙,¥369,5.0,54,长沙
简约清新大床房，干净舒适，近火车站，近五一广场，曙光798,整套1室 · 1床 · 可住2人,长沙火车站,¥178,4.9,988,长沙
【长租】植·觉-轻奢民宿【楼下即五一核心商圈+大屏投影仪】（无其他费用+空调+洗衣机+投影仪+阳台+起居室）,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥289,4.9,1263,长沙
【琴弦】原木&双大床/五一广场IFS国金中心地铁站2号线1号线近步行街坡子街太平古街/巨幕投影/IFS地标景,整套1室 · 2床 · 可住3人,五一广场/贺龙,¥208,5.0,285,长沙
低价长短租【青柚  南笙】地铁口/近五一广场/贺龙体育馆/轻奢风/全屋智能家居,整套2室 · 3床 · 可住6人,五一广场/贺龙,¥388,5.0,441,长沙
【牧野】│ 两室一厅 │ 近五一广场/近步行街/金融中心/茶子山地铁/岳麓山/橘子洲/大学城/渔人码头/国金中心/月亮岛,整套2室 · 2床 · 可住4~5人,市委/市政府,¥348,5.0,418,长沙
『心情鸟公寓』可月租丨免费停车丨小姐姐室友丨独卫空调丨万家丽丨马王堆丨五一广场丨火车站丨国金中心丨橘子洲丨岳麓山,独立一间5室 · 1床 · 可住2人,长沙火车站,¥78,4.3,613,长沙
三顾•洛云 五一广场/正地铁口500米/直达橘子洲岳麓山/近ifs/太平老街/坡子街/大客厅可住2人,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥358,5.0,35,长沙
近五一广场/太平街/橘子洲/IFS步行街/楼下坡子街/楼下超级文和友 多库存房间随机 如日期被预定可点头像主页看其他房型,整套1室 · 1床 · 可住2~3人,距五一广场直线778米 天心区,¥180,4.8,9011,长沙
【蕴空】大床复式loft/巨幕投影/湘雅附一/湖景/五一广场/橘子洲头/文和友/长短租优惠【纽扣服务式酒店公寓】,整套2室 · 2床 · 可住4人,北辰/中南大学湘雅医院,¥373,4.9,3168,长沙
【优·舍】『凡尘雅居』近长沙高铁南站｜杜花路地铁站｜五一广场｜会展中心,整套1室 · 1床 · 可住2人,长沙南站,¥159,4.8,28,长沙
【青柚·幕夕】地铁口/五一广场/国金中心IFS/太平街/坡子街/波西米亚风,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥248,4.8,317,长沙
【竹子酱•友达】五一广场|国金中心|两室一厅|江景烟花|侘寂风|设计师民宿|可住4人|巨幕投影,整套2室 · 2床 · 可住4人,五一广场/贺龙,¥508,5.0,299,长沙
【叁川】全景落地窗｜巨幕会员观影｜IFS国金400m｜地铁口｜复古法式风｜,整套1室 · 1床 · 可住2~3人,五一广场/贺龙,¥279,5.0,39,长沙
【青柚·秋意浓】五一商圈/太平街/国金中心ifs/地铁口/巨幕投影,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥248,4.6,201,长沙
[久桐-暹逻小院】高层落地窗/五一广场/太平街/节日烟花/IFS/太平老街/可住4人,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥370,4.6,2,长沙
五一商圈/IFS国金中心/坡子街/太平街/橘子洲/岳麓山/博物馆,整套2室 · 3床 · 可住6人,五一广场/贺龙,¥528,5.0,58,长沙
【青柚·从心】五一商圈/太平街/国金中心ifs/地铁口/巨幕投影,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥248,5.0,166,长沙
「几何空间」梅溪湖地铁口高端Loft公寓270°全景落地窗两房三床/巨幕投影/可做饭/地铁直达五一广场岳麓山橘子洲高铁站,整套3室 · 3床 · 可住6~8人,梅溪湖/洋湖风景区,¥498,5.0,190,长沙
『行舍·浮世』五一商圈/地铁口/巨幕投影/IFS国金中心/太平街，近岳麓山、橘子洲景点,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥232,4.9,784,长沙
【久桐 - 缙云小筑】五一广场/乐和城/中山亭/高层落地窗/可住4人/观星城夕阳/巨幕投影,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥350,5.0,99,长沙
＇优尚.橙金得礼＇/双床可住4人/市中心高层/太平街/地铁口50米/五一广场/岳麓山/桔子洲潮宗街文化街区,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥368,4.7,118,长沙
【和居&民宿】五一广场市中心/太平街/黄兴路步行街/IFS国金中心/橘子洲/高清巨幕投影大床/高层景观,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥228,5.0,162,长沙
［4ever民宿］近五一广场/太平老街/4k小米大电视/潮宗街/金满地/超级文和友,整套1室 · 2床 · 可住3~4人,五一广场/贺龙,¥258,5.0,94,长沙
【乌然.云慕城市民宿】投影仪双床房/步行黄兴广场五分钟/五一广场/IFS国金/岳麓山打卡拍照/橘子洲,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥228,5.0,267,长沙
已消毒【有梦·伍月】楼下1号线/近五一广场橘子洲岳麓山太平街/临茶颜悦色/投影大床房,整套1室 · 1床 · 可住2~3人,北辰/中南大学湘雅医院,¥252,4.9,675,长沙
【此间⺀云回蓝屿】〔已消毒〕五一商圈/地铁口/巨幕投影/坡子街/太平街/中山亭/IFS国金中心,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥249,5.0,163,长沙
多房型/屿.漫/现代北欧风/五一广场/双床可住四人/楼下地铁口/潮宗街/巨幕投影/冰箱洗衣机,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥359,4.6,840,长沙
美宿系列/月租2000/简约大床房/ 近高铁南站 、每日消毒、安心住,整套1室 · 1床 · 可住2人,距长沙南站直线1.3公里 雨花区,¥155,4.8,9072,长沙
近南门口/侯家塘/贺龙体育馆/冬瓜山美食街,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥178,5.0,65,长沙
可以做饭的电影房《每日全屋消毒》-五江天街美食街/进高铁南站，火车站，沙湾公园，喜盈门.范城，楼下茶颜悦色！,整套1室 · 1床 · 可住2~3人,距长沙南站直线3.6公里 雨花区,¥189,4.8,7991,长沙
橘子洲绝美江景*云栖树（五一广场，贺龙广场，橘子洲毛主席雕像，岳麓山湘江水，橘子洲江景）,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥268,5.0,44,长沙
【云涧•暗香】五一商圈芙蓉广场地铁口清新简约式温馨小居室、家庭式影院体验、近IFS、太平老街、坡子街,整套1室 · 2床 · 可住2~4人,距五一广场直线756米 芙蓉区,¥188,4.6,206,长沙
【第4首歌•当冬夜渐暖】黄兴中路地铁口/五一广场/巨幕投影化龙池､IFS､坡子街近在咫尺/步行可至太平街,整套1室 · 1床 · 可住2人,距五一广场直线850米 天心区,¥198,4.8,264,长沙
【匿光】近Fis国金中心/五一广场/巨幕投影/三床可住6人/黄兴广场双地铁口/文和友龙虾馆/奶油风/管家式服务,整套1室 · 3床 · 可住6人,五一广场/贺龙,¥328,4.6,116,长沙
初代/解放西双地铁/日式两房和服/五一广场太平街坡子街/巨幕投影江景阳台,整套2室 · 2床 · 可住4人,五一广场/贺龙,¥238,4.6,241,长沙
友家/月租2000/黑白简约大床房/高铁南站,整套1室 · 1床 · 可住2人,长沙南站,¥153,4.8,6495,长沙
【悦乎'暮春】 日式风/榻榻米/投影/洗衣机/自助入住/长沙高铁南站/近地铁/吾悦广场/雅礼中学/五一广场,独立一间4室 · 1床 · 可住2人,距长沙南站直线1.3公里 雨花区,¥178,5.0,1597,长沙
